
[2013-05-18 07:26:03.010509] [SMELL] Object does not fit within bounds. (pos=(-53, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:03.017040] [SMELL] Object does not fit within bounds. (pos=(-52, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:03.023706] [SMELL] Object does not fit within bounds. (pos=(-51, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:03.030710] [SMELL] Object does not fit within bounds. (pos=(-50, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:03.039122] [SMELL] Object does not fit within bounds. (pos=(-49, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:03.046075] [SMELL] Object does not fit within bounds. (pos=(-48, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:03.055894] [SMELL] Object does not fit within bounds. (pos=(-47, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:03.065897] [SMELL] Object does not fit within bounds. (pos=(-46, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:03.073268] [SMELL] Object does not fit within bounds. (pos=(-45, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:03.080987] [SMELL] Object does not fit within bounds. (pos=(-44, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:03.090594] [SMELL] Object does not fit within bounds. (pos=(-43, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:03.097197] [SMELL] Object does not fit within bounds. (pos=(-42, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:03.103795] [SMELL] Object does not fit within bounds. (pos=(-41, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:03.111612] [SMELL] Object does not fit within bounds. (pos=(-40, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:03.118311] [SMELL] Object does not fit within bounds. (pos=(-39, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:03.125206] [SMELL] Object does not fit within bounds. (pos=(-38, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:03.684951] [SMELL] Object does not fit within bounds. (pos=(-37, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:03.694684] [SMELL] Object does not fit within bounds. (pos=(-36, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:03.703948] [SMELL] Object does not fit within bounds. (pos=(-35, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:03.713417] [SMELL] Object does not fit within bounds. (pos=(-34, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:03.720754] [SMELL] Object does not fit within bounds. (pos=(-33, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:03.728431] [SMELL] Object does not fit within bounds. (pos=(-32, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:03.736775] [SMELL] Object does not fit within bounds. (pos=(-31, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:03.745795] [SMELL] Object does not fit within bounds. (pos=(-30, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:03.756074] [SMELL] Object does not fit within bounds. (pos=(-29, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:03.765793] [SMELL] Object does not fit within bounds. (pos=(-28, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:03.775492] [SMELL] Object does not fit within bounds. (pos=(-27, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:03.784693] [SMELL] Object does not fit within bounds. (pos=(-26, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:03.794176] [SMELL] Object does not fit within bounds. (pos=(-25, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:03.803852] [SMELL] Object does not fit within bounds. (pos=(-24, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:03.812709] [SMELL] Object does not fit within bounds. (pos=(-23, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:03.822149] [SMELL] Object does not fit within bounds. (pos=(-22, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:03.831947] [SMELL] Object does not fit within bounds. (pos=(-21, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:03.841684] [SMELL] Object does not fit within bounds. (pos=(-20, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:03.850988] [SMELL] Object does not fit within bounds. (pos=(-19, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:03.860356] [SMELL] Object does not fit within bounds. (pos=(-18, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:03.869893] [SMELL] Object does not fit within bounds. (pos=(-17, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:03.878257] [SMELL] Object does not fit within bounds. (pos=(-16, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:03.885835] [SMELL] Object does not fit within bounds. (pos=(-15, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:03.893375] [SMELL] Object does not fit within bounds. (pos=(-14, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:03.900435] [SMELL] Object does not fit within bounds. (pos=(-13, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:03.907681] [SMELL] Object does not fit within bounds. (pos=(-12, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:03.914671] [SMELL] Object does not fit within bounds. (pos=(-11, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:03.924202] [SMELL] Object does not fit within bounds. (pos=(-10, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:03.933146] [SMELL] Object does not fit within bounds. (pos=(-9, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:03.942645] [SMELL] Object does not fit within bounds. (pos=(-8, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:03.952458] [SMELL] Object does not fit within bounds. (pos=(-7, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:03.960393] [SMELL] Object does not fit within bounds. (pos=(-6, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:03.967752] [SMELL] Object does not fit within bounds. (pos=(-5, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:03.976056] [SMELL] Object does not fit within bounds. (pos=(-4, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:03.982844] [SMELL] Object does not fit within bounds. (pos=(-3, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:03.991573] [SMELL] Object does not fit within bounds. (pos=(-2, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:04.001652] [SMELL] Object does not fit within bounds. (pos=(-1, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:05.314323] [SMELL] Object does not fit within bounds. (pos=(-1, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:05.324129] [SMELL] Object does not fit within bounds. (pos=(-2, 10), size=<rect(0, 0, 1366, 768)>)
